開発フロー	タスク	担当	実作業(h)	AI適用カテゴリ	削減率	AI削減可能(h)	AI・エージェント活用の具体策
①名入れ商品	PRO FUN-CREATORヒアリング内容のフィードバック	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	資材の発注マニュアル作成・本番発注依頼	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	「品質について」を記入	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	商品ページ依頼準備（LP依頼シート）	管理者	2.00	LP・商品ページ作成/QA	70%	1.40	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
①名入れ商品	Webマーケ部（Web管理者）と打合せ・ページ依頼	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	商品ページチェック・修正依頼	管理者	0.50	LP・商品ページ作成/QA	70%	0.35	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
①名入れ商品	PRO FUN-CREATORにページ共有	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
①名入れ商品	テスト注文依頼＆チェック・販売開始・全体に周知	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
①名入れ商品	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	売上集計（2週間後）→準備シートに記録	メンバー	0.25	集計・在庫データ処理	85%	0.21	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
①名入れ商品	生産の問題点を確認（2か月後）→解決とフィードバックをプラン	メンバー	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	競合調査	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
②フリーカット商品	ターゲット選定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
②フリーカット商品	ニーズまとめ	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
②フリーカット商品	資材の検討・決定→在庫価格一覧表に資材情報を記入	管理者	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
②フリーカット商品	商品の形状、商品名を検討	管理者	4.00	ネーミング・デザイン案出し	60%	2.40	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
②フリーカット商品	商品決定の根拠などを商品開発部内に共有	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	注文方法、作成方法を検討	メンバー	2.00	検討・データ整理(一部)	40%	0.80	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
②フリーカット商品	試作・調整	メンバー	2.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	差別化	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	販売価格の決定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
②フリーカット商品	目標設定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
②フリーカット商品	コンセプトまとめ	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	社長の確認（コンセプトを送信）	管理者	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
②フリーカット商品	作成方法を生産部（生産管理者）と打合せ	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	作成方法の詳細・生産の流れ確定	生産部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	発売日確定・PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリングを招集	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
②フリーカット商品	PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリング	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	商品内容を調整	商品開発部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	PRO FUN-CREATORヒアリング内容のフィードバック	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	資材の発注マニュアル作成・本番発注依頼	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	「品質について」を記入	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
②フリーカット商品	商品ページ依頼準備（LP依頼シート）	管理者	2.00	LP・商品ページ作成/QA	70%	1.40	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
②フリーカット商品	Webマーケ部（Web管理者）と打合せ・ページ依頼	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	商品ページチェック・修正依頼	管理者	0.50	LP・商品ページ作成/QA	70%	0.35	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
②フリーカット商品	PRO FUN-CREATORにページ共有	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
②フリーカット商品	テスト注文依頼＆チェック・販売開始・全体に周知	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
②フリーカット商品	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
②フリーカット商品	売上集計（2週間後）→準備シートに記録	メンバー	0.25	集計・在庫データ処理	85%	0.21	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
②フリーカット商品	生産の問題点を確認（2か月後）→解決とフィードバックをプラン	メンバー	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	競合調査	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
③Webdeco商品	ターゲット選定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
③Webdeco商品	ニーズまとめ	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
③Webdeco商品	資材の検討・決定→在庫価格一覧表に資材情報を記入	管理者	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
③Webdeco商品	商品名を検討	管理者	0.25	ネーミング・デザイン案出し	60%	0.15	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
③Webdeco商品	商品決定の根拠などを商品開発部内に共有	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	作成方法を検討	メンバー	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
③Webdeco商品	試作・調整	メンバー	2.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	差別化	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	販売価格の決定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
③Webdeco商品	目標設定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
③Webdeco商品	コンセプトまとめ	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	社長の確認（コンセプトを送信）	管理者	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
③Webdeco商品	作成方法を生産部（生産管理者）と打合せ	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	作成方法の詳細・生産の流れ確定	生産部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	Webdecoシミュレーション提出用データを作成	メンバー	2.00	シミュレーションデータ作成(一部)	40%	0.80	提出用データをテンプレ化＋AI補助で雛形生成。最終調整は人。
③Webdeco商品	Webdecoシミュレーション見積・データ提出　※メール件名に商品名も入れる	管理者	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
③Webdeco商品	発売日確定・PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリングを招集	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
③Webdeco商品	PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリング	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	商品内容を調整	商品開発部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	PRO FUN-CREATORヒアリング内容のフィードバック	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	本番発注・発注マニュアル作成・発注者の振り分けを相談（生産管理者）	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	「品質について」を記入	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	商品ページ依頼準備（LP依頼シート）	管理者	2.00	LP・商品ページ作成/QA	70%	1.40	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
③Webdeco商品	Webマーケ部（Web管理者）と打合せ・ページ依頼	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	この商品用のスタンプ・背景を検討	メンバー	1.00	ネーミング・デザイン案出し	60%	0.60	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
③Webdeco商品	完成シミュレーションの確認　※生産部（生産管理者）も確認	メンバー	0.50	QA・テスト・周知	50%	0.25	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
③Webdeco商品	シミュレーション情報をWebマーケに共有	メンバー	0.25	文章作成・まとめ・共有資料	80%	0.20	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
③Webdeco商品	商品ページチェック・修正依頼	管理者	0.25	LP・商品ページ作成/QA	70%	0.18	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
③Webdeco商品	PRO FUN-CREATORにページ共有	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
③Webdeco商品	テスト注文依頼＆チェック・販売開始・全体に周知	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
③Webdeco商品	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	データ入稿テンプレート作成	メンバー	0.00	LP・商品ページ作成/QA	70%	0.00	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
③Webdeco商品	データ入稿を販売開始	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
③Webdeco商品	売上集計（2週間後）→準備シートに記録	メンバー	0.25	集計・在庫データ処理	85%	0.21	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
③Webdeco商品	生産の問題点を確認（2か月後）→解決とフィードバックをプラン	メンバー	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	機器本体（またはカットデータ）の購入	管理者	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	試作・調整	メンバー	2.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	Webdecoシミュレーション提出用データを作成	メンバー	2.00	シミュレーションデータ作成(一部)	40%	0.80	提出用データをテンプレ化＋AI補助で雛形生成。最終調整は人。
④ニューモデル追加(スキンシール)	Webdecoシミュレーション見積・データ提出　※メール件名に商品名も入れる	メンバー	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
④ニューモデル追加(スキンシール)	商品ページの追加内容を整理	メンバー	0.50	検討・データ整理(一部)	40%	0.20	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
④ニューモデル追加(スキンシール)	Webマーケ部（Web管理者）と打合せ・ページ依頼	メンバー	0.25	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	完成シミュレーションの確認　※生産部（生産管理者）も確認	メンバー	0.50	QA・テスト・周知	50%	0.25	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
④ニューモデル追加(スキンシール)	シミュレーション情報をWebマーケに共有	メンバー	0.25	文章作成・まとめ・共有資料	80%	0.20	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
④ニューモデル追加(スキンシール)	商品ページチェック・修正依頼	メンバー	0.25	LP・商品ページ作成/QA	70%	0.18	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
④ニューモデル追加(スキンシール)	テスト注文依頼＆チェック・販売開始・全体に周知	メンバー	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
④ニューモデル追加(スキンシール)	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
④ニューモデル追加(スキンシール)	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	販売実績調査（デザイン面も）	管理者	1.00	調査・情報収集	70%	0.70	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
