※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	ライフイベントとの相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
文字入りアクスタ		台座印刷（文字入れ）できるアクスタは、透明アクリル製のアクリルスタンドに好きなキャラクターやデザインを印刷し、台座部分にオリジナルの文字やロゴを入れられるカスタムグッズです。台座への名入れやコメント印刷が可能で、推し活やコレクション、プレゼントなどで世界に一つだけの特別なグッズに仕上げることができます。	アイドルや推し活をしているファンや、キャラクターグッズを愛好するオタク層がメインターゲットです。推し事の応援グッズとして、また推しへのプレゼントやファングッズ販売、イベント記念品など、応援メッセージを入れたオリジナルグッズとして活用できるため、推し活コミュニティやグッズ販売者からのニーズが高い商品です。	4点：フリーカット	https://oshiado.base.shop/items/57666236		7	8	6	7	8	8	73	73	A	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
アクスタのサブスク		台座がつながる	赤ちゃん月齢ごとに届く	4点：フリーカット			7	6	9	7	8	8	73	73	A	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
フチなしパネル					https://x.com/Akinya_3/status/2081344258431447321?s=20	　	7	7	7	8	8	8	73	73	A			1：新設備が必要or外注のみ
吹き出しアクスタ				4点：フリーカット			7	8	6	6	8	8	73	73	A	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
しゃべるダイカットクッション		音声録音/再生機能	離れた家族・サプライズ	4点：フリーカット			7	6	9	8	8	7	72	72	A	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
光る透明うちわ		ネオンサイン風	ライブ・ナイトイベント	5点：Web deco	https://prtimes.jp/main/html/rd/p/000000044.000023076.html		7	7	7	5	8	8	71	71	A	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
コップのフチに飾るアクリル		ミニフィギュア風		4点：フリーカット			7	7	7	6	8	7	71	71	A	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
光るアクリルキーホルダー				4点：フリーカット	https://item.rakuten.co.jp/good-select/oskt-0005/		7	7	7	6	8	7	71	71	A	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
動く仕掛けグッズ		切り抜きが動く	サプライズ・SNS映え	4点：フリーカット	https://www.instagram.com/reel/DJ6WSSLNuwC/?igsh=bjN2bnlqb3Bucnc1		7	6	9	6	8	6	70	70	A	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
音声寄せ書きグッズ		NFC/QR利用	送別会・記念日	5点：Web deco			7	6	7	8	8	8	70	70	A			4：既存資材で作成可能（新しい作成方法あり）
パズル型のアクリルキーホルダー					https://www.family.co.jp/campaign/spot/2604_pokemon_THrJxJdT/keychain.html	　	7	7	6	6	8	8	70	70	A			5：既存資材で作成可能（新しい作成方法なし）
ダイカットうちわ		自由形状（肉球等）	コンサート・イベント	4点：フリーカット			7	7	6	5	8	8	70	70	B	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
等身大アクスタ・等身大パネル			イベント・フォトブース	4点：フリーカット			7	7	6	7	8	7	70	70	B	うちわ		1：新設備が必要or外注のみ
アクスタコースター		立てられるコースター	推し活・自宅用	5点：Web deco	https://www.me-q.jp/topic/acrylic-coaster-with-akusuta		7	7	6	6	8	7	69	69	B	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
名前ポエムグッズ		アクロスティックメッセージ	お祝い・記念日ギフト	5点：Web deco	https://chatgpt.com/share/e/68ad3c33-1f30-8006-acb1-e98c872f601e		7	6	6	8	8	8	69	69	B	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
フィルム風フォト		4コマ・フィルム	記念・推し活・SNS	5点：Web deco	https://item.rakuten.co.jp/centts/llp-127-film/		7	7	5	6	8	7	68	68	B	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
乳歯・へその緒ケース		木製・アクリル名入れ	出産祝い・成長記録	5点：Web deco			7	6	5	8	8	8	67	67	B	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
オリジナルデザインの寄せ書き土台		パズル、アクリルなど	送別・推しに渡す	5点：Web deco			7	6	5	7	8	8	67	67	B			4：既存資材で作成可能（新しい作成方法あり）
赤ちゃん手形足形キャンバス				5点：Web deco			7	6	5	7	8	8	67	67	B			2：新規資材が必要（設備の調整や治具の必要あり）
アクリルパズル		写真・デザイン	ギフト・知育・推し活	5点：Web deco	https://www.etsy.com/jp/listing/1706420011/kpop-idol-album-puzzle-acrylic-display?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=idol&ref=sr_gallery-1-35&pop=1&mto=1&content_source=01cf063cfb63d0b10e7f382b603e2b5bed9a10d7%253A1706420011&search_preloaded_img=1&organic_search_click=1		7	7	4	7	8	7	67	67	B	UV一般		4：既存資材で作成可能（新しい作成方法あり）
着せ替え応援うちわ・ボード			コンサート	5点：Web deco	Prozy参考		7	7	4	5	8	8	67	67	B	うちわ	アイコス	2：新規資材が必要（設備の調整や治具の必要あり）
痛バッグ		クリア素材・カスタム	推し活・イベント	5点：Web deco			7	7	4	5	8	8	67	67	B	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
推しトレカ風ステッカー		デザイン・サイズ固定	コレクション・配布	5点：Web deco			7	7	4	4	8	8	66	66	B	UV一般		4：既存資材で作成可能（新しい作成方法あり）
言葉の波形デザインをプリントしたグッズ		アクリル・キャンバスなど	記念・育児・推し活・ペット	3点：名入れ・画像カスタマイズ	https://positiveprints.com/ja/%E8%A3%BD%E5%93%81/%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%E3%82%A2%E3%83%BC%E3%83%88/		6	6	7	7	8	8	66	66	B	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
迷子札（NFCタグ入り）			ペット・子供	5点：Web deco			7	5	7	6	8	7	66	66	B	UV一般		4：既存資材で作成可能（新しい作成方法あり）
オリジナル間接照明		シルエット投影	インテリア・メモリアル	5点：Web deco			6	6	7	8	8	7	66	66	B	UV一般		1：新設備が必要or外注のみ
2等身グッズ		SDキャラ風デザイン	推し活・ペット	4点：フリーカット			6	7	6	6	8	7	66	66	B	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカットステッカー・フレークシール			推し活・スマホデコ	4点：フリーカット			6	7	6	5	8	7	65	65	B	アイコス	グッズ	4：既存資材で作成可能（新しい作成方法あり）
アクスタマドラー		実用・推し活	推し活	4点：フリーカット			6	7	6	5	8	7	65	65	B	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカットクッションキーホルダー			推し・ペット・部活	4点：フリーカット			6	7	6	5	8	7	65	65	B	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ペット 骨壺/遺毛 カプセル・ペンダント・骨壺カバー				5点：Web deco			7	5	5	8	8	8	65	65	C	UV一般	アイコス	2：新規資材が必要（設備の調整や治具の必要あり）
オーダーメイド絵本			出産・育児	3点：名入れ・画像カスタマイズ	https://mystella.me/ja		7	5	5	8	8	8	65	65	C	その他・不明・未定		1：新設備が必要or外注のみ
QRコードグッズ		メッセージ等を隠す	サプライズ・ギフト	5点：Web deco			6	6	7	7	8	6	64	64	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
クリップアクスタ		挟めるタイプ	デスク・日常使い	4点：フリーカット			6	7	6	5	8	6	64	64	C	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
ケーキトッパー		アクスタセット	誕生日・結婚式	4点：フリーカット	https://www.nut2deco.com/product/5561		6	6	6	6	8	8	64	64	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
ドミスト(ドミノのような分厚いアクリルストラップ)				5点：Web deco			6	7	5	6	8	7	64	64	C			2：新規資材が必要（設備の調整や治具の必要あり）
光るプレート		木製台座等	記念品・表彰	5点：Web deco			6	5	7	8	8	7	63	63	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
アクリルステッカー		厚みのあるシール	スマホ・雑貨デコ	4点：フリーカット	https://www.me-q.jp/topic/acrylic_sticker		6	7	6	5	8	5	63	63	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
アクキーツリー 、季節ごとの土台（クリスマスツリーとか）、\nアクスタに穴をたくさん開けて何かのディスプレイ				4点：フリーカット			6	7	6	5	6	7	63	63	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
光るバッジ（ちかちか光るやつ）				5点：Web deco			6	7	5	4	8	7	63	63	C	UV一般	グッズ	3：新規資材が必要（設備の調整や治具の必要なし）
ペンライト改造プレート		中に入れるデザイン	コンサート	5点：Web deco	https://item.rakuten.co.jp/shop-blblbl/oshi0002/		6	7	4	5	8	8	63	63	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
モザイクアートグッズ			記念	3点：名入れ・画像カスタマイズ	https://note.com/gera_0316/n/nafb0adbf4da9		6	5	7	7	8	7	63	63	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
ボックスフレームアート\nボックス型の奥行きのあるフレームの奥（紙）に、背景をプリントし、手前のアクリルの裏側に人やメッセージをプリントする商品。				4点：フリーカット			6	5	7	7	8	7	63	63	C			1：新設備が必要or外注のみ
アクリルシール					https://x.com/acryl_tatsujin/status/2036670466933625083?s=20		6	7	5	5	8	6	63	63	C			3：新規資材が必要（設備の調整や治具の必要なし）
推し香水・ルームフレグランス・アロマ・香りグッズ(香り付きでないディフーザー含む)				5点：Web deco			6	7	4	6	8	7	63	63	C			1：新設備が必要or外注のみ
刺繍キーホルダー		カスタム刺繍	高級感あるギフト	4点：フリーカット	https://x.com/GoodsYe/status/1751557731469623618		6	6	6	6	8	6	62	62	C	アイロン一般		1：新設備が必要or外注のみ
等身大パズル				4点：フリーカット			6	6	6	6	8	6	62	62	C	UVフリーカット		1：新設備が必要or外注のみ
子供服アクキー		連結タイプ・思い出	成長記録・ギフト	4点：フリーカット	https://otakuma.net/archives/2024091302.html#google_vignette		6	5	6	7	8	8	62	62	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルカード			SNSプロフィールをクリアカードに	5点：Web deco	https://x.com/imari33_photo/status/2035979310130135329?s=46&t=4NaO8deriWPxBinoAmM9pg		6	6	5	7	8	7	62	62	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ミニペンライト		ちびぬい用・席札	ぬい活・結婚式	5点：Web deco			6	7	4	5	8	7	62	62	C	その他・不明・未定		3：新規資材が必要（設備の調整や治具の必要なし）
CDジャケット風キーホルダー				5点：Web deco			6	7	4	5	8	7	62	62	C			2：新規資材が必要（設備の調整や治具の必要あり）
うちわケース		布・PVC	保管・持ち運び	5点：Web deco			6	7	4	5	8	7	62	62	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
オリジナル　トレカ、透明トレカ				5点：Web deco			6	7	4	5	8	7	62	62	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
アクスタが入るスマホケースホルダー		アクスタが入る	推し活・日常使い	5点：Web deco			6	7	4	5	8	7	62	62	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
押し色のネームタグ（刺繍）				5点：Web deco	https://www.instagram.com/reel/Cx-fxcwSDNj/?igshid=MzRlODBiNWFlZA%3D%3D		6	7	4	5	8	7	62	62	C	その他・不明・未定		1：新設備が必要or外注のみ
うちの子パーツグッズ		生首・お尻等	ペットオーナー	4点：フリーカット	https://www.creema.jp/item/16473189/detail		6	5	6	6	8	8	62	62	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
プロフィールカード		SNSのプロフをアクリルにする			https://x.com/imari33_photo/status/2035979310130135329?s=46&t=4NaO8deriWPxBinoAmM9pg		6	6	5	6	8	7	62	62	C			5：既存資材で作成可能（新しい作成方法なし）
ミニうちわ型ステッカー			ぬい活	5点：Web deco			6	7	4	4	8	7	62	62	C			4：既存資材で作成可能（新しい作成方法あり）
カードケース		トレカ・ICパスケース	推し活・通勤	5点：Web deco	https://cafepancha2.stores.jp/items/64969aa85ab45e002c5ce5ca		6	7	4	4	8	7	62	62	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
トレカスタンド				5点：Web deco			6	7	4	4	8	7	62	62	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ミニうちわ		ちびぬい用・席札	ぬい活・結婚式	5点：Web deco			6	7	4	4	8	7	62	62	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
アクリル時計		写真/デザインプリント	卒業・結婚・誕生記念	5点：Web deco			6	6	4	7	8	8	62	62	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
NFCカード			デジタル名刺・URL共有	5点：Web deco			6	6	7	5	8	4	61	61	C			2：新規資材が必要（設備の調整や治具の必要あり）
ポーチ・クリアポーチ		メイク・文具入れ	ギフト・推し活収納	5点：Web deco			6	7	4	5	8	6	61	61	C	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
キャンバストート		12色展開	推し活・習い事	5点：Web deco			6	7	4	5	8	6	61	61	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
名前型アクリルペンライト		競合とデザイン差は出ない	ライブ・イベント	3点：名入れ・画像カスタマイズ	https://item.rakuten.co.jp/shop-blblbl/oshi0001/		6	7	3	4	8	8	61	61	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカットクッション		自由形状・全面プリント	インテリア・ペット	4点：フリーカット			6	6	6	5	8	5	61	61	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルプレート壁掛け用		複数連結・チャーム		5点：Web deco			6	6	5	6	8	6	61	61	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
オリジナル婚姻届・出生届		額付き		3点：名入れ・画像カスタマイズ			6	5	5	7	8	8	61	61	C			1：新設備が必要or外注のみ
ベビー用マット		名入れ・デザイン	誕生・成長記録	5点：Web deco			6	6	4	5	8	8	61	61	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
名入れスタイ				5点：Web deco			6	6	4	5	8	8	61	61	C	アイロン一般		1：新設備が必要or外注のみ
イニシャルキーホルダー		厚み・装飾付き	ギフト・ペア・推し	3点：名入れ・画像カスタマイズ	https://giftmall.co.jp/giftyEKZHp/?fp_source=91765		6	6	4	6	8	7	60	60	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
ミニキャンバス		イーゼルセット	アート・推し活・ギフト	5点：Web deco			6	6	4	6	8	7	60	60	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
アクスタフレーム				2点：既成デザイン	https://qlia.shop/?pid=176239688		6	7	3	4	8	7	60	60	C			2：新規資材が必要（設備の調整や治具の必要あり）
アクスタ収納ファイル			持ち運び・整理	5点：Web deco	https://www.palcloset.jp/display/item/2225-KR344-0000/?b=3coins		6	7	3	4	8	7	60	60	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
見えるうちわ収納ケース				5点：Web deco	https://www.palcloset.jp/display/item/2225-KR350-0000/?b=3coins		6	7	3	4	8	7	60	60	C			2：新規資材が必要（設備の調整や治具の必要あり）
推しラベル				5点：Web deco	https://youpouch.com/2021/12/17/805756/		6	7	3	4	8	7	60	60	C			2：新規資材が必要（設備の調整や治具の必要あり）
カンペうちわキット			コンサート	5点：Web deco			6	7	3	4	8	7	60	60	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
きらきら缶バッジ		ホログラム等		5点：Web deco			6	7	3	4	8	7	60	60	C	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
おむつプリント				5点：Web deco			6	6	4	5	8	7	60	60	C			1：新設備が必要or外注のみ
ベビー用ロンパース				5点：Web deco			6	6	4	5	8	7	60	60	C			1：新設備が必要or外注のみ
ケーキの上に飾れる写真フィルム			推し活・記念日	5点：Web deco			6	6	4	5	8	7	60	60	C			1：新設備が必要or外注のみ
おくるみ				5点：Web deco			6	6	4	5	8	7	60	60	C			1：新設備が必要or外注のみ
絵馬・お守りアクキー			推し活	5点：Web deco			6	7	3	5	7	7	60	60	C			2：新規資材が必要（設備の調整や治具の必要あり）
免許証風キーホルダー		写真・名前入り		3点：名入れ・画像カスタマイズ	https://minne.com/items/17236661		6	6	5	5	8	5	59	59	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
名入れ　シャンパングラス、ワイングラス、ハイボールグラス、焼酎グラス、ソジュグラス				5点：Web deco			6	6	4	6	8	6	59	59	C			1：新設備が必要or外注のみ
幼児がご飯を食べる時にかけるスタイ		洗ってすぐ乾く素材		5点：Web deco			6	6	4	4	8	7	59	59	C			1：新設備が必要or外注のみ
ベビーリュック				5点：Web deco			6	6	4	4	8	7	59	59	C			1：新設備が必要or外注のみ
お名前シール		スタンダード	入園・入学準備	5点：Web deco			6	7	4	4	6	6	59	59	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
布用お名前シール		衣類用アイロン等	入園・入学準備	5点：Web deco			6	7	4	4	6	6	59	59	C	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルメッセージカード				5点：Web deco			6	6	4	5	8	6	59	59	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ファブリックポスター		布製・ナチュラル	韓国風インテリア・記念	5点：Web deco			6	6	4	5	8	6	59	59	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ペーパーシアター				4点：フリーカット			6	5	6	5	8	5	58	58	C			1：新設備が必要or外注のみ
名入れタオル		スポーツ簡単オーダー	部活・卒団・運動会	3点：名入れ・画像カスタマイズ			6	6	4	6	6	7	58	58	C	アイロン一般		4：既存資材で作成可能（新しい作成方法あり）
彫刻商品（ステンレス製品、木製品、夫婦箸My箸）				3点：名入れ・画像カスタマイズ			6	5	4	7	8	7	58	58	C			2：新規資材が必要（設備の調整や治具の必要あり）
刺繍画		額装・高品質	ペット・家族・記念	5点：Web deco			6	5	4	7	8	7	58	58	C	その他・不明・未定		1：新設備が必要or外注のみ
ウエディングドロップ				5点：Web deco	https://www.creema.jp/listing?q=%E3%82%A6%E3%82%A7%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%89%E3%83%AD%E3%83%83%E3%83%97%E3%82%B9		6	5	4	7	7	8	58	58	C			2：新規資材が必要（設備の調整や治具の必要あり）
刺繍ワッペン・シールワッペン			ペットなど	4点：フリーカット			5	6	6	5	8	6	58	58	C	その他・不明・未定		1：新設備が必要or外注のみ
オーダー文字シール		イニシャル等	推し色デコ	3点：名入れ・画像カスタマイズ			5	7	4	4	8	7	58	58	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
寄せ書きタペストリー				5点：Web deco			6	5	4	6	8	7	58	58	C			4：既存資材で作成可能（新しい作成方法あり）
ハートロック		推しと自分の名前を彫った南京錠		5点：Web deco			6	5	4	6	8	7	58	58	C			2：新規資材が必要（設備の調整や治具の必要あり）
箸置き		名入れ・ペア	結婚祝い・敬老の日	5点：Web deco			6	5	4	6	8	7	58	58	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
席札うちわ（セット）			結婚式用	5点：Web deco			6	5	4	6	7	8	58	58	C	うちわ		2：新規資材が必要（設備の調整や治具の必要あり）
選び札			1歳バースデー	5点：Web deco			6	5	4	6	7	8	58	58	C			2：新規資材が必要（設備の調整や治具の必要あり）
ミニゲーフラ		自立型応援旗	推し部屋・写真立て風	5点：Web deco			6	6	3	4	8	7	58	58	C	アイロン縫製		3：新規資材が必要（設備の調整や治具の必要なし）
ループ付きタオル		名前・イラスト	入園・入学・ベビー	5点：Web deco			6	6	4	4	6	7	57	57	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ペット服		名入れ・おそろい	ペットオーナー	5点：Web deco			6	5	4	5	8	7	57	57	C	その他・不明・未定		1：新設備が必要or外注のみ
テーマカラーのグッズセット			還暦（赤）など	3点：名入れ・画像カスタマイズ	https://giftmall.co.jp/gifthxQSM7/?gsf_pcid=2476430%3A474499%3A0&srsltid=AfmBOoq-jHBMkpAmm0rZ-kG5Q6X5OahRPxTd2EMZdIp8CPId2rGwqLemASU		6	5	4	7	7	7	57	57	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
フリーカットポーチ		自由形状・プリント	ギフト・雑貨	4点：フリーカット			5	6	6	5	8	5	57	57	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ハメパチのチャーム（カードサイズ）					https://item.rakuten.co.jp/wing-vj/a7000-6210/?ultra_crid=a7000-6210&scid=af_pc_etc&sc2id=af_113_0_10001868&iasid=wem_icbs_&icm_cid=23320714004&icm_acid=255-776-8501&ifd=57&gbraid=0AAAAADoVjphoI5131EDMj1npeuz3EyIna&icm_agid=&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxKoVWiN0_9nMCDpSI5FQsyhnZnof-w88Wl7Q8xoqMoh_H8WieWUj9UaAnaCEALw_wcB	　	6	6	3	4	7	7	57	57	C			3：新規資材が必要（設備の調整や治具の必要なし）
ハート形応援ボート				5点：Web deco			5	7	3	4	8	7	57	57	C			2：新規資材が必要（設備の調整や治具の必要あり）
ペンラケース		布・PVC	保管・持ち運び	5点：Web deco			5	7	3	4	8	7	57	57	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
立つうちわ				5点：Web deco			5	7	3	4	8	7	57	57	C			2：新規資材が必要（設備の調整や治具の必要あり）
光るバンド				5点：Web deco			5	7	3	4	8	7	57	57	C			2：新規資材が必要（設備の調整や治具の必要あり）
ランドセルカバー				5点：Web deco			6	6	4	4	6	6	56	56	C			2：新規資材が必要（設備の調整や治具の必要あり）
幼児用ポシェット		ハンカチ入れ等	通園・入園準備	5点：Web deco			6	6	4	4	6	6	56	56	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
レッスンバック				5点：Web deco			6	6	4	4	6	6	56	56	C			1：新設備が必要or外注のみ
ファーストカットアート（髪の毛）				2点：既成デザイン	https://oiwaiya.base.shop/items/84096787		6	5	3	6	8	7	56	56	C			1：新設備が必要or外注のみ
ダイカット名札（フリーカットバッジ）				4点：フリーカット			5	6	6	5	8	4	56	56	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカット　スマホスタンド				4点：フリーカット			5	6	6	5	8	4	56	56	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
推し色デコプリシール		カラーバリエーション	推し色デコ	2点：既成デザイン	https://www.utiwa.jp/c/gr16/gr74/gr662/gd6172		5	7	3	3	8	7	56	56	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
推し言葉シール		推し活でよく使うワードを集めたもの	デコレーション	2点：既成デザイン	ダイソー参考		5	7	3	3	8	7	56	56	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
うちわカバー用シール		公式うちわの顔が映える	推し活	2点：既成デザイン	https://cafepancha2.stores.jp/items/649ea3e2cac6f90033515a5c		5	7	3	3	8	7	56	56	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
うちわデコパーツ追加		雪だるまやダイヤ等	コンサート	2点：既成デザイン			5	7	3	3	8	7	56	56	C	うちわ		4：既存資材で作成可能（新しい作成方法あり）
ユニフォーム型タオル		実物デザイン再現	応援・記念品	3点：名入れ・画像カスタマイズ			6	5	4	6	7	6	56	56	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
マグネット（アクリルフリーカット）				4点：フリーカット			5	6	6	4	8	4	56	56	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
フリーカットマウスパッド				4点：フリーカット			5	6	6	4	8	4	56	56	C			1：新設備が必要or外注のみ
猫などのシルエット型のミラー				4点：フリーカット			5	5	6	5	8	6	56	56	C			1：新設備が必要or外注のみ
刺繍ハンカチ・ガーゼタオル				5点：Web deco			5	7	4	5	8	4	56	56	C			1：新設備が必要or外注のみ
おむつポーチ				5点：Web deco			5	6	4	4	8	7	56	56	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ハメパチのカラビナ				5点：Web deco			5	7	3	4	8	6	56	56	C	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
アクキーフック（キーホルダーがたくさん付けれるカラビナ）				5点：Web deco	https://www.tiktok.com/@99andosrlcb/video/7416948167993822471?_r=1&_t=8pv1q5Dx0LY		5	7	3	4	8	6	56	56	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
リストバンド		素材バリエーション	ライブ・スポーツ	5点：Web deco			5	7	3	4	8	6	56	56	C	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
