※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	推し活との相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
フィルム風フォト		4コマ・フィルム	記念・推し活・SNS	5点：Web deco	https://item.rakuten.co.jp/centts/llp-127-film/		8	8	5	6	8	9	78	78	S	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
アクスタのサブスク		台座がつながる	赤ちゃん月齢ごとに届く	4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
アクリルパズル		写真・デザイン	ギフト・知育・推し活	5点：Web deco	https://www.etsy.com/jp/listing/1706420011/kpop-idol-album-puzzle-acrylic-display?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=idol&ref=sr_gallery-1-35&pop=1&mto=1&content_source=01cf063cfb63d0b10e7f382b603e2b5bed9a10d7%253A1706420011&search_preloaded_img=1&organic_search_click=1		8	8	5	6	8	9	78	78	S	UV一般		4：既存資材で作成可能（新しい作成方法あり）
吹き出しアクスタ				4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
シールデコパーツ		グリッター等	うちわ作成キット	2点：既成デザイン			8	8	5	6	8	9	78	78	S	うちわ		4：既存資材で作成可能（新しい作成方法あり）
家紋アクスタ・刀剣アクスタ				2点：既成デザイン			8	8	5	6	8	9	78	78	S			4：既存資材で作成可能（新しい作成方法あり）
アクスタマドラー		実用・推し活	推し活	4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
1文字漢字グッズの推し活バージョン		アイドルの漢字		2点：既成デザイン			8	8	5	6	8	9	78	78	S	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
コップのフチに飾るアクリル		ミニフィギュア風		4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカット名札（フリーカットバッジ）				4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
クリップアクスタ		挟めるタイプ	デスク・日常使い	4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
ハメパチのカラビナ				5点：Web deco			8	8	5	6	8	9	78	78	S	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
チェキ・トレカを入れるアクスタ					https://www.trans.co.jp/works/odm/jamscollection/		8	8	5	6	8	9	78	78	S			3：新規資材が必要（設備の調整や治具の必要なし）
ハメパチのチャーム（カードサイズ）					https://item.rakuten.co.jp/wing-vj/a7000-6210/?ultra_crid=a7000-6210&scid=af_pc_etc&sc2id=af_113_0_10001868&iasid=wem_icbs_&icm_cid=23320714004&icm_acid=255-776-8501&ifd=57&gbraid=0AAAAADoVjphoI5131EDMj1npeuz3EyIna&icm_agid=&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxKoVWiN0_9nMCDpSI5FQsyhnZnof-w88Wl7Q8xoqMoh_H8WieWUj9UaAnaCEALw_wcB	　	8	8	5	6	8	9	78	78	S			3：新規資材が必要（設備の調整や治具の必要なし）
トレカスタンド				5点：Web deco			8	8	5	6	8	9	78	78	S	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
アクスタフレーム				2点：既成デザイン	https://qlia.shop/?pid=176239688		8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
アクスタ収納ファイル			持ち運び・整理	5点：Web deco	https://www.palcloset.jp/display/item/2225-KR344-0000/?b=3coins		8	8	5	6	8	9	78	78	S	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
子供服アクキー		連結タイプ・思い出	成長記録・ギフト	4点：フリーカット	https://otakuma.net/archives/2024091302.html#google_vignette		8	8	5	6	8	9	78	78	S	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アクキーツリー 、季節ごとの土台（クリスマスツリーとか）、\nアクスタに穴をたくさん開けて何かのディスプレイ				4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
文字だけアクキー（Wedding、名前など）		競合とデザイン差は出ない		3点：名入れ・画像カスタマイズ			8	8	5	6	8	9	78	78	S	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アクキーフック（キーホルダーがたくさん付けれるカラビナ）				5点：Web deco	https://www.tiktok.com/@99andosrlcb/video/7416948167993822471?_r=1&_t=8pv1q5Dx0LY		8	8	5	6	8	9	78	78	S	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
絵馬・お守りアクキー			推し活	5点：Web deco			8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
きらきら缶バッジ		ホログラム等		5点：Web deco			8	8	5	6	8	9	78	78	S	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
ぬいスタンド		競合とデザイン差は出ない	ぬい活	1点：デザイン無し			8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
ちびぬいケース		競合とデザイン差は出ない		1点：デザイン無し			8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
アクリルカード			SNSプロフィールをクリアカードに	5点：Web deco	https://x.com/imari33_photo/status/2035979310130135329?s=46&t=4NaO8deriWPxBinoAmM9pg		8	8	5	6	8	9	78	78	S	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
推しラベル				5点：Web deco	https://youpouch.com/2021/12/17/805756/		8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
CDジャケット風キーホルダー				5点：Web deco			8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
オリジナル　トレカ、透明トレカ				5点：Web deco			8	8	5	6	8	9	78	78	S	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
アクスタが入るスマホケースホルダー		アクスタが入る	推し活・日常使い	5点：Web deco			8	8	5	6	8	9	78	78	S	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルメッセージカード				5点：Web deco			8	8	5	6	8	9	78	78	S	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ダイカットクッションキーホルダー			推し・ペット・部活	4点：フリーカット			8	8	5	6	8	9	78	78	S	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ハート形応援ボート				5点：Web deco			8	8	5	6	8	9	78	78	S			2：新規資材が必要（設備の調整や治具の必要あり）
ちびぬい		オリジナル制作	推し活・ペット	2点：既成デザイン			8	8	5	6	8	9	78	78	S	その他・不明・未定		1：新設備が必要or外注のみ
等身大アクスタ・等身大パネル			イベント・フォトブース	4点：フリーカット			8	8	5	6	8	9	78	78	S	うちわ		1：新設備が必要or外注のみ
ちびぬい衣装		帽子・小物キット	ぬい活・カスタマイズ	2点：既成デザイン			8	8	5	6	8	9	78	78	S	その他・不明・未定		1：新設備が必要or外注のみ
推し香水・ルームフレグランス・アロマ・香りグッズ(香り付きでないディフーザー含む)				5点：Web deco			8	8	5	6	8	9	78	78	S			1：新設備が必要or外注のみ
推し活貯金箱			推し・ペットのため	2点：既成デザイン	https://www.palcloset.jp/display/item/2225-KR346-0000/?b=3coins		8	8	5	6	8	9	78	78	S	その他・不明・未定		1：新設備が必要or外注のみ
等身大パズル				4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		1：新設備が必要or外注のみ
推写リング					https://www.trans.co.jp/column/originalgoods/plush_photography_ring/?utm_source=newsletter&utm_medium=email&utm_campaign=260401-button		7	8	4	5	8	9	73	73	A			3：新規資材が必要（設備の調整や治具の必要なし）
押し色のネームタグ（刺繍）				5点：Web deco	https://www.instagram.com/reel/Cx-fxcwSDNj/?igshid=MzRlODBiNWFlZA%3D%3D		7	8	4	6	8	8	71	71	A	その他・不明・未定		1：新設備が必要or外注のみ
刺繍キーホルダー		カスタム刺繍	高級感あるギフト	4点：フリーカット	https://x.com/GoodsYe/status/1751557731469623618		7	8	4	6	8	8	71	71	A	アイロン一般		1：新設備が必要or外注のみ
クリアデコステッカー		透明シール		5点：Web deco			7	8	4	5	8	8	70	70	A	アイコス		5：既存資材で作成可能（新しい作成方法なし）
トイレ用ステッカー（男子の失敗防止シールなど）				2点：既成デザイン			7	8	4	5	8	8	70	70	A			5：既存資材で作成可能（新しい作成方法なし）
マイナーな格闘技・武道ステッカー				2点：既成デザイン			7	8	4	5	8	8	70	70	A			5：既存資材で作成可能（新しい作成方法なし）
車ステッカーの定型デザイン		推し/子供が乗ってます		2点：既成デザイン			7	8	4	5	8	8	70	70	A	アイコス		5：既存資材で作成可能（新しい作成方法なし）
数字グッズ		誕生日・記念日	ギフト・推し活	2点：既成デザイン			7	8	4	5	8	8	70	70	A	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
イニシャルキーホルダー		厚み・装飾付き	ギフト・ペア・推し	3点：名入れ・画像カスタマイズ	https://giftmall.co.jp/giftyEKZHp/?fp_source=91765		7	8	4	5	8	8	70	70	A	UV一般		4：既存資材で作成可能（新しい作成方法あり）
Webdecoステッカー小		サイズバリエーション	手帳・小物デコ	5点：Web deco			7	8	4	5	8	8	70	70	A	アイコス		4：既存資材で作成可能（新しい作成方法あり）
双眼鏡		スキンシール貼る	ライブ・スポーツ観戦	5点：Web deco			7	8	4	5	8	8	70	70	A	アイコス		4：既存資材で作成可能（新しい作成方法あり）
免許証風キーホルダー		写真・名前入り		3点：名入れ・画像カスタマイズ	https://minne.com/items/17236661		7	8	4	5	8	8	70	70	A	UV一般		4：既存資材で作成可能（新しい作成方法あり）
ダイカット　スマホスタンド				4点：フリーカット			7	8	4	5	8	8	70	70	A	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ボトル用ラベルシール（洗剤、調味料、旅行用ボトル）				5点：Web deco			7	8	4	5	8	8	70	70	A			4：既存資材で作成可能（新しい作成方法あり）
バッグチャーム				5点：Web deco			7	8	4	5	8	8	70	70	A	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
コンパクトミラー		拡大鏡付き		5点：Web deco			7	8	4	5	8	8	70	70	A	グッズ	アイコス	3：新規資材が必要（設備の調整や治具の必要なし）
バッグタグ、ラゲッジタグ、ネームタグ(ゴルフバッグなど)、グリップエンド用ネームタグ				5点：Web deco			7	8	4	5	8	8	70	70	A			3：新規資材が必要（設備の調整や治具の必要なし）
ポーチ・クリアポーチ		メイク・文具入れ	ギフト・推し活収納	5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
カードケース		トレカ・ICパスケース	推し活・通勤	5点：Web deco	https://cafepancha2.stores.jp/items/64969aa85ab45e002c5ce5ca		7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
マグネット（アクリルフリーカット）				4点：フリーカット			7	8	4	5	8	8	70	70	A	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
ミニキャンバス		イーゼルセット	アート・推し活・ギフト	5点：Web deco			7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
Webdecoステッカーのマグネット化				5点：Web deco			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
スマホショルダー			トレンド・日常使い	5点：Web deco			7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
携帯グリップ				5点：Web deco			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型レザーキーホルダー		名入れ		3点：名入れ・画像カスタマイズ			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
ウォールステッカー				4点：フリーカット			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
ミニトートバッグ		ランチ・お散歩バッグ		5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
フリーカットポーチ		自由形状・プリント	ギフト・雑貨	4点：フリーカット			7	8	4	5	8	8	70	70	A	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型パスケース		形状・背番号入れ	通学・スポーツチーム	3点：名入れ・画像カスタマイズ			7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
スティックバルーン風船				5点：Web deco			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
リストバンド		素材バリエーション	ライブ・スポーツ	5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
お酒ラベル				5点：Web deco			7	8	4	5	8	8	70	70	A			2：新規資材が必要（設備の調整や治具の必要あり）
トラベルポーチセット				5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ブロックメモ		側面印刷		5点：Web deco	https://dainichi-p.co.jp/product_all/block_memo/block_memo		7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
防水ポーチ			サウナ・レジャー用	5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
サコッシュ				5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
クリアバッグ		ビニール素材		5点：Web deco			7	8	4	5	8	8	70	70	A	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
オリジナルはんこ			ペット・推し活	5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
財布、カードケース		布・PVC素材	雑貨・推し活収納	5点：Web deco			7	8	4	5	8	8	70	70	A	アイロン一般	UV一般	1：新設備が必要or外注のみ
ヘアアクセサリー		シュシュ等　推し色		5点：Web deco			7	8	4	5	8	8	70	70	A	UV一般		1：新設備が必要or外注のみ
ぷっくりステッカー				5点：Web deco			7	8	4	5	8	8	70	70	A	アイコス	グッズ	1：新設備が必要or外注のみ
文字キーチェーン（金属加工）				3点：名入れ・画像カスタマイズ	https://www.etsy.com/jp/listing/1107382094/korean-name-necklace-hangul-necklace?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=kpop&ref=sc_gallery-1-4&pro=1&pop=1&sts=1&mto=1&search_preloaded_img=1&plkey=df3f42ba5580e732e8f557bd53f693a6c240943c%3A1107382094		7	8	4	5	8	8	70	70	A	その他・不明・未定		1：新設備が必要or外注のみ
ネイルシール				5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
刻印キーリング				5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
マスキングテープ				5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
フェルトキーホルダー				5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
寿司ネタマグネット				2点：既成デザイン	https://x.gd/ox4GF		7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
ミニ酒樽			お祝い	5点：Web deco			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
真鍮ステッカー（屋外にも貼れる）				2点：既成デザイン			7	8	4	5	8	8	70	70	A			1：新設備が必要or外注のみ
しゃべるダイカットクッション		音声録音/再生機能	離れた家族・サプライズ	4点：フリーカット			6	7	8	6	7	6	66	66	B	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
刺繍キット（オリジナルデザインにできる）				5点：Web deco			5	7	3	6	7	6	56	56	C			2：新規資材が必要（設備の調整や治具の必要あり）
刺繍ハンカチ・ガーゼタオル				5点：Web deco			5	7	3	6	7	6	56	56	C			1：新設備が必要or外注のみ
刺繍ワッペン・シールワッペン			ペットなど	4点：フリーカット			5	7	3	6	7	6	56	56	C	その他・不明・未定		1：新設備が必要or外注のみ
カレンダー（布、紙、刺繍、日めくり）				5点：Web deco			5	7	3	6	7	6	56	56	C	その他・不明・未定		1：新設備が必要or外注のみ
刺繍ボール				5点：Web deco			5	7	3	6	7	6	56	56	C			1：新設備が必要or外注のみ
刺繍画		額装・高品質	ペット・家族・記念	5点：Web deco			5	7	3	6	7	6	56	56	C	その他・不明・未定		1：新設備が必要or外注のみ
新生児1年間のイベントを手帳やカレンダーに貼るシール				2点：既成デザイン			5	7	3	5	7	6	55	55	C			5：既存資材で作成可能（新しい作成方法なし）
のれん				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
ステンレスボトル		カスタムプリント	オフィス・アウトドア	5点：Web deco	https://markless.jp/category/bottle/		5	7	3	5	7	6	55	55	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
名入れタオル		スポーツ簡単オーダー	部活・卒団・運動会	3点：名入れ・画像カスタマイズ			5	7	3	5	7	6	55	55	C	アイロン一般		4：既存資材で作成可能（新しい作成方法あり）
ユニフォーム型の万年カレンダー			卒団・引退記念	3点：名入れ・画像カスタマイズ			5	7	3	5	7	6	55	55	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
フルオーダーマグカップ		ユニフォーム柄	卒団・引退記念	3点：名入れ・画像カスタマイズ	https://mug-brighten.com/sotsugyokinen/		5	7	3	5	7	6	55	55	C	グッズ		4：既存資材で作成可能（新しい作成方法あり）
座布団・クッション		実用重視	リビング・車内	5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
